time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-12T21:57:18.000Z,32.6008339,-116.9736633,3.43,1.5,ml,33,250,0.03733,0.14,ci,ci38107216,2018-02-12T21:59:32.432Z,"8km NNE of Tijuana, Mexico",earthquake,1.13,0.41,0.243,6,automatic,ci,ci
2018-02-12T20:59:44.580Z,40.2971649,-124.3951645,15.67,1.64,md,5,297,0.1068,0.03,nc,nc72968636,2018-02-12T21:14:04.173Z,"10km WSW of Petrolia, CA",earthquake,4.02,1.37,0.03,3,automatic,nc,nc
2018-02-12T20:55:52.652Z,60.2146,-140.9681,0,2.2,ml,,,,0.99,ak,ak18434908,2018-02-12T21:07:13.329Z,"82km ENE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-02-12T20:55:17.052Z,55.9843,-150.0102,10,3.8,ml,,,,0.77,ak,ak18434906,2018-02-12T21:32:26.726Z,"248km SE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-02-12T20:35:08.200Z,37.6025009,-118.956665,-0.19,1.48,md,18,171,0.01479,0.04,nc,nc72968626,2018-02-12T20:50:03.561Z,"4km SSE of Mammoth Lakes, CA",earthquake,0.4,0.99,0.23,16,automatic,nc,nc
2018-02-12T20:09:04.450Z,37.6268349,-118.333168,2.54,2.1,md,4,145,0.3287,0.04,nc,nc72968621,2018-02-12T21:54:02.913Z,"28km NNE of Dixon Lane-Meadow Creek, CA",earthquake,0.6,9.09,1.18,2,automatic,nc,nc
2018-02-12T20:05:35.950Z,33.5038333,-116.803,3.92,1.65,ml,56,30,0.08235,0.2,ci,ci38107160,2018-02-12T20:16:40.210Z,"9km NE of Aguanga, CA",earthquake,0.19,0.55,0.129,26,automatic,ci,ci
2018-02-12T20:05:15.520Z,38.7399,144.6137,10,4.5,mb,,127,3.131,0.98,us,us2000d13w,2018-02-12T21:19:36.040Z,"243km ESE of Kamaishi, Japan",earthquake,6,1.9,0.073,55,reviewed,us,us
2018-02-12T20:03:28.160Z,45.9988333,-112.4776667,-2,1.56,ml,8,111,0.056,0.11,mb,mb80281204,2018-02-12T20:29:53.420Z,"4km E of Butte, Montana",quarry blast,0.57,31.61,0.176,2,reviewed,mb,mb
2018-02-12T19:43:29.620Z,33.7088333,-117.7006667,0.75,1.81,ml,7,133,0.1935,0.32,ci,ci38107136,2018-02-12T19:47:27.646Z,"4km NW of Foothill Ranch, CA",earthquake,1.37,31.61,0.396,32,automatic,ci,ci
2018-02-12T19:29:08.510Z,38.8271675,-122.7858353,1.05,1.28,md,16,81,0.01287,0.04,nc,nc72968606,2018-02-12T20:58:03.573Z,"6km W of Cobb, CA",earthquake,0.23,0.72,0.14,5,automatic,nc,nc
2018-02-12T18:59:24.990Z,37.8256667,-113.3016667,1.73,1.49,md,8,124,0.1161,0.1,uu,uu60267847,2018-02-12T19:27:24.000Z,"25km WNW of Enoch, Utah",earthquake,0.69,6.7,0.379,4,reviewed,uu,uu
2018-02-12T18:25:50.350Z,38.8100014,-122.7401657,0.22,0.56,md,7,124,0.009605,0.02,nc,nc72968581,2018-02-12T18:35:02.873Z,"2km SW of Cobb, CA",earthquake,0.3,1.94,0.3,3,automatic,nc,nc
2018-02-12T17:59:19.330Z,38.810833,-122.7460022,0.63,0.73,md,6,128,0.009313,0.01,nc,nc72968576,2018-02-12T18:47:03.585Z,"2km WSW of Cobb, CA",earthquake,0.8,1.39,0.2,2,automatic,nc,nc
2018-02-12T17:47:44.320Z,37.6591667,-118.8438333,2.34,0.79,md,17,87,0.02209,0.04,nc,nc72968571,2018-02-12T21:48:53.592Z,"12km ENE of Mammoth Lakes, CA",earthquake,0.23,0.43,0.204,14,reviewed,nc,nc
2018-02-12T17:39:09.780Z,38.8258324,-122.7998352,2.83,0.88,md,16,53,0.00836,0.04,nc,nc72968566,2018-02-12T17:48:02.661Z,"7km NW of The Geysers, CA",earthquake,0.3,0.73,0.13,3,automatic,nc,nc
2018-02-12T17:30:45.010Z,37.6608315,-118.8440018,2.52,1.6,md,26,90,0.02373,0.06,nc,nc72968556,2018-02-12T21:42:02.891Z,"12km ENE of Mammoth Lakes, CA",earthquake,0.24,0.4,0.34,20,automatic,nc,nc
2018-02-12T17:25:54.170Z,37.6608333,-118.8425,2.32,0.65,md,10,204,0.02343,0.05,nc,nc72968551,2018-02-12T21:54:01.913Z,"12km ENE of Mammoth Lakes, CA",earthquake,0.56,0.92,0.244,8,reviewed,nc,nc
2018-02-12T17:24:07.681Z,61.8724,-150.8317,10.4,2,ml,,,,0.58,ak,ak18434469,2018-02-12T17:31:24.826Z,"44km WNW of Willow, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-02-12T17:21:36.840Z,37.66,-118.8443333,2.56,1.16,md,23,75,0.023,0.06,nc,nc72968546,2018-02-12T21:42:01.891Z,"12km ENE of Mammoth Lakes, CA",earthquake,0.21,0.45,0.361,18,reviewed,nc,nc
2018-02-12T17:20:02.960Z,37.6688333,-118.873,2.87,1.16,md,21,75,0.0295,0.05,nc,nc72968541,2018-02-12T21:38:01.883Z,"10km ENE of Mammoth Lakes, CA",earthquake,0.25,0.35,0.34,18,reviewed,nc,nc
2018-02-12T17:17:59.830Z,33.5058333,-116.7943333,6.15,1.02,ml,32,52,0.07615,0.19,ci,ci38107072,2018-02-12T17:40:06.790Z,"10km NE of Aguanga, CA",earthquake,0.22,0.76,0.083,25,reviewed,ci,ci
2018-02-12T17:13:41.030Z,37.5441667,-118.9751667,3.95,0.52,md,11,241,0.07384,0.09,nc,nc72968536,2018-02-12T21:31:01.873Z,"10km S of Mammoth Lakes, CA",earthquake,0.85,1.4,0.166,8,reviewed,nc,nc
2018-02-12T16:56:50.820Z,37.6205,-118.8666667,6.14,0.43,md,10,141,0.003311,0.02,nc,nc72968531,2018-02-12T21:45:05.896Z,"10km E of Mammoth Lakes, CA",earthquake,1.27,0.44,0.135,8,reviewed,nc,nc
2018-02-12T16:44:57.120Z,38.8380013,-122.8363342,1.55,0.56,md,9,100,0.0149,0.01,nc,nc72968526,2018-02-12T19:23:03.262Z,"10km NW of The Geysers, CA",earthquake,0.3,0.73,0.01,2,automatic,nc,nc
2018-02-12T16:44:11.960Z,33.8843333,-117.0345,3.02,1.33,ml,34,49,0.1058,0.24,ci,ci38107056,2018-02-12T16:47:49.326Z,"7km SW of Beaumont, CA",earthquake,0.45,2.01,0.145,33,automatic,ci,ci
2018-02-12T16:38:33.300Z,35.2561667,-118.606,5.88,1.43,ml,16,114,0.07224,0.11,ci,ci38107048,2018-02-12T17:39:27.546Z,"20km NW of Tehachapi, CA",earthquake,0.25,0.79,0.176,26,reviewed,ci,ci
2018-02-12T16:24:38.529Z,60.2656,-152.5145,98.7,1.6,ml,,,,0.38,ak,ak18434317,2018-02-12T17:54:05.071Z,"27km SSE of Redoubt Volcano, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2018-02-12T16:23:16.070Z,44.8318333,-123.5111667,10.13,1.69,ml,10,84,0.06712,0.13,uw,uw61368776,2018-02-12T19:09:58.810Z,"18km WSW of Dallas, Oregon",earthquake,0.34,0.94,0.26,5,reviewed,uw,uw
2018-02-12T16:16:49.760Z,19.201,-155.4651667,35.92,2.67,ml,49,101,0.04544,0.1,hv,hv70035892,2018-02-12T21:27:37.790Z,"1km ESE of Pahala, Hawaii",earthquake,0.62,0.86,0.091,8,reviewed,hv,hv
2018-02-12T16:14:28.790Z,56.1527,-149.8087,10,3.5,ml,,206,2.198,0.47,us,us2000d0yv,2018-02-12T17:24:02.040Z,"241km SE of Kodiak, Alaska",earthquake,6.6,2,0.056,42,reviewed,us,us
2018-02-12T16:13:43.620Z,33.4958333,-116.4615,7.45,0.67,ml,23,103,0.08458,0.22,ci,ci38107032,2018-02-12T17:39:47.175Z,"21km ESE of Anza, CA",earthquake,0.39,1.12,0.13,15,reviewed,ci,ci
2018-02-12T15:58:57.540Z,33.4826667,-116.4533333,7.81,0.85,ml,19,146,0.125,0.2,ci,ci38107024,2018-02-12T17:39:44.512Z,"22km ESE of Anza, CA",earthquake,0.36,1.3,0.165,24,reviewed,ci,ci
2018-02-12T15:55:18.720Z,37.6678333,-118.8673333,1.98,-0.14,md,8,187,0.0331,0.03,nc,nc72968516,2018-02-12T21:15:47.226Z,"10km ENE of Mammoth Lakes, CA",earthquake,0.87,1.46,0.198,7,reviewed,nc,nc
2018-02-12T15:49:25.630Z,37.672,-118.8718333,3,1.2,md,22,76,0.03035,0.06,nc,nc72968511,2018-02-12T21:34:03.877Z,"10km ENE of Mammoth Lakes, CA",earthquake,0.24,0.53,0.291,17,reviewed,nc,nc
2018-02-12T15:38:18.940Z,-5.9073,102.7044,19.03,4.3,mb,,90,1.556,1.2,us,us2000d0y7,2018-02-12T16:21:26.040Z,"151km SW of Kuripan, Indonesia",earthquake,5.1,5.5,0.104,26,reviewed,us,us
2018-02-12T15:26:11.890Z,34.0648333,-117.7955,13.54,1.69,ml,52,54,0.02858,0.24,ci,ci38107000,2018-02-12T17:40:02.233Z,"4km W of Pomona, CA",earthquake,0.34,0.61,0.176,30,reviewed,ci,ci
2018-02-12T15:05:40.030Z,34.0335,-117.1253333,14.94,2.09,ml,81,38,0.01091,0.22,ci,ci38106992,2018-02-12T15:16:21.260Z,"4km SSE of Mentone, CA",earthquake,0.21,0.39,0.204,24,automatic,ci,ci
2018-02-12T14:46:53.410Z,46.8558333,-112.5145,16.93,0.3,md,7,100,0.139,0.07,mb,mb80281209,2018-02-12T20:38:36.040Z,"16km SE of Lincoln, Montana",earthquake,0.35,0.77,0.437,3,reviewed,mb,mb
2018-02-12T14:41:10.050Z,34.3203333,-116.4478333,8.81,1.23,ml,19,71,0.06122,0.19,ci,ci38106976,2018-02-12T17:40:18.786Z,"23km N of Yucca Valley, CA",earthquake,0.43,0.77,0.155,25,reviewed,ci,ci
2018-02-12T14:35:53.140Z,38.8196678,-122.8446655,2.03,0.74,md,13,88,0.008277,0.03,nc,nc72968481,2018-02-12T16:11:03.260Z,"9km WNW of The Geysers, CA",earthquake,0.31,0.86,,1,automatic,nc,nc
2018-02-12T14:26:42.990Z,19.4046669,-155.2839966,0,1.7,ml,18,41,0.007881,0.11,hv,hv70035847,2018-02-12T14:32:21.060Z,"5km WSW of Volcano, Hawaii",earthquake,0.14,0.25,0.09,4,automatic,hv,hv
2018-02-12T14:24:51.350Z,28.9484,-97.9663,5,3.1,mb_lg,,120,0.166,0.4,us,us2000d0xm,2018-02-12T21:10:10.055Z,"9km NW of Karnes City, Texas",earthquake,2.6,2,0.068,56,reviewed,us,us
2018-02-12T14:15:02.790Z,37.5641667,-118.837,1.31,0.49,md,9,268,0.02657,0.01,nc,nc72968471,2018-02-12T21:24:02.856Z,"14km W of Toms Place, CA",earthquake,1.55,1.19,0.235,8,reviewed,nc,nc
2018-02-12T14:10:50.120Z,38.8246651,-122.8511658,1.71,0.32,md,9,92,0.005305,0.03,nc,nc72968466,2018-02-12T15:28:03.021Z,"10km WNW of The Geysers, CA",earthquake,0.39,0.7,0.24,2,automatic,nc,nc
2018-02-12T14:07:52.440Z,33.5178333,-116.7926667,5.41,0.13,ml,17,96,0.06625,0.09,ci,ci38106968,2018-02-12T17:40:20.913Z,"11km NE of Aguanga, CA",earthquake,0.21,0.66,0.073,8,reviewed,ci,ci
2018-02-12T14:00:46.947Z,60.1364,-140.8188,0.5,1.7,ml,,,,0.41,ak,ak18433442,2018-02-12T14:03:58.233Z,"89km NW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-02-12T13:59:39.700Z,38.7779999,-122.7233353,1.86,0.37,md,8,125,0.006712,0.02,nc,nc72968461,2018-02-12T14:59:02.970Z,"3km W of Anderson Springs, CA",earthquake,0.48,0.79,0.28,3,automatic,nc,nc
2018-02-12T13:58:15.230Z,38.8216667,-122.7783356,0.08,0.55,md,10,58,0.008594,0.01,nc,nc72968456,2018-02-12T14:31:02.922Z,"5km W of Cobb, CA",earthquake,0.21,0.48,0.16,3,automatic,nc,nc
2018-02-12T13:56:26.940Z,46.8543333,-121.9463333,11.19,0.59,ml,5,211,0.07977,0.08,uw,uw61368771,2018-02-12T18:56:34.540Z,"24km E of Eatonville, Washington",earthquake,0.79,0.89,0.189,5,reviewed,uw,uw
2018-02-12T13:35:31.070Z,33.5171667,-116.7845,6.59,0.39,ml,13,135,0.0622,0.13,ci,ci38106952,2018-02-12T17:40:37.619Z,"11km WSW of Anza, CA",earthquake,0.37,0.8,0.173,15,reviewed,ci,ci
2018-02-12T13:26:02.010Z,46.9121667,-121.9636667,3.85,0.96,ml,16,60,0.03273,0.14,uw,uw61368766,2018-02-12T18:11:39.310Z,"23km ENE of Eatonville, Washington",earthquake,0.34,0.82,0.196,12,reviewed,uw,uw
2018-02-12T13:20:10.510Z,38.8253326,-122.8550034,1.74,0.96,md,9,114,0.01576,0.03,nc,nc72968451,2018-02-12T13:53:02.855Z,"10km WNW of The Geysers, CA",earthquake,0.4,0.88,0.07,2,automatic,nc,nc
2018-02-12T13:15:55.180Z,48.3325,-124.5513333,31.54,2.1,ml,15,78,0.04578,0.18,uw,uw61368756,2018-02-12T18:28:09.020Z,"6km SE of Neah Bay, Washington",earthquake,0.53,0.71,0.131,10,reviewed,uw,uw
2018-02-12T13:01:59.240Z,46.8161667,-111.6213333,1.52,1.66,ml,17,111,0.359,0.13,mb,mb80281159,2018-02-12T15:21:23.290Z,"28km ENE of Helena Valley Northeast, Montana",earthquake,0.65,3.99,0.227,2,reviewed,mb,mb
2018-02-12T12:58:45.350Z,37.8518333,-122.2371674,2.83,1.05,md,8,228,0.02353,0.03,nc,nc72968446,2018-02-12T13:28:02.795Z,"3km N of Piedmont, CA",earthquake,1.07,0.56,0.1,6,automatic,nc,nc
2018-02-12T12:42:20.610Z,46.0026667,-111.3978333,5.82,0.39,md,6,161,0.197,0.1,mb,mb80281214,2018-02-12T20:42:43.300Z,"17km NE of Three Forks, Montana",earthquake,0.82,6.91,0.249,3,reviewed,mb,mb
2018-02-12T12:41:52.671Z,64.8321,-147.5114,14.9,0.4,ml,,,,0.34,ak,ak18432612,2018-02-12T12:49:22.968Z,"3km NNE of Badger, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-02-12T12:14:50.930Z,33.5128333,-116.447,6.13,0.67,ml,25,103,0.02068,0.2,ci,ci38106944,2018-02-12T17:40:57.035Z,"21km SW of La Quinta, CA",earthquake,0.39,0.68,0.101,18,reviewed,ci,ci
2018-02-12T11:42:07.920Z,62.3124,-149.4229,56.7,1.2,ml,,,,0.1,ak,ak18432188,2018-02-12T11:45:25.870Z,"27km NE of Y, Alaska",earthquake,,1.6,,,automatic,ak,ak
2018-02-12T11:17:24.100Z,33.4775,-116.459,5.39,1.34,ml,45,103,0.05357,0.2,ci,ci38106936,2018-02-12T17:42:21.440Z,"22km ESE of Anza, CA",earthquake,0.23,0.72,0.219,26,reviewed,ci,ci
